A1,A3,A4,A7,A8,A11,B1,B2,sqgh,sqws,sqwm,sqmz,gxwl,tctj,wygl,abjk,yey,yly,dxcs,sqylz,sqhds,llgx,shcy,zzld,zzqk,sqgx,satisfaction
1,5,5,2,2,100,20,2,2,3,3,3,3,3,3,3,4,1,1,4,4,4,4,4,4,4,4
1,1,2,2,2,80,20,2,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,3
2,5,4,1,2,105,60,2,4,3,5,5,5,5,4,3,4,1,1,5,3,4,5,4,4,4,4
2,5,2,2,2,80,44,2,3,3,5,3,4,5,4,4,3,3,3,3,3,4,4,4,4,4,4
2,5,3,2,5,60,38,2,3,1,3,3,3,2,1,1,5,3,1,5,5,3,3,4,3,3,2
2,2,4,2,3,130,8,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
1,1,5,2,3,130,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
2,3,4,1,5,100,3,2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4
2,5,2,1,3,60,20,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4
2,5,2,1,2,90,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
2,5,3,1,3,102,10,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
2,5,2,1,4,20,10,2,2,2,4,3,4,2,2,3,5,3,5,5,5,4,4,4,4,4,4
2,5,2,1,3,70,10,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
2,5,3,2,2,110,29,2,4,3,3,3,4,4,2,4,4,2,3,4,2,4,3,4,4,3,4
2,1,3,2,5,70,52,2,4,4,4,4,3,3,4,4,1,1,1,4,4,4,4,4,4,4,5
2,5,3,1,1,63,42,2,5,5,5,5,1,1,1,1,2,2,2,2,4,5,5,4,4,5,3
2,5,2,1,2,65,45,2,5,5,5,5,1,1,1,1,3,1,3,4,3,5,5,4,4,5,3
2,3,5,2,3,78,23,2,3,4,4,3,4,4,4,3,4,4,3,5,4,4,4,3,3,3,4
2,5,1,1,2,30,40,2,3,1,3,1,1,1,1,1,5,4,4,4,2,2,3,2,3,3,3
1,1,3,2,1,72,60,2,5,4,5,4,3,4,4,4,1,4,1,4,4,5,4,4,4,4,2
2,5,1,1,3,67,40,2,5,5,5,5,1,1,1,1,3,1,3,4,3,5,5,4,4,5,4
2,5,2,2,2,60,43,2,4,4,4,4,1,3,1,4,3,1,1,4,3,4,3,5,4,3,4
1,1,2,2,3,67,48,2,2,3,4,4,1,1,1,4,4,1,1,4,4,4,4,4,4,4,4
2,5,2,1,4,67,41,2,4,4,3,5,3,3,3,3,4,1,1,3,3,3,3,3,3,3,4
2,1,3,1,4,48,36,2,4,3,3,5,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4
2,5,1,2,1,63,50,2,2,3,3,3,2,2,2,3,3,3,1,5,3,5,4,4,4,5,4
1,1,2,1,2,18,9,2,4,4,4,4,2,3,2,3,3,4,2,4,4,5,4,4,4,4,4
2,5,2,1,2,37,30,2,3,3,3,3,1,1,2,2,4,4,4,4,4,3,3,3,3,3,3
2,5,3,1,2,47,35,2,4,3,4,4,1,1,3,3,3,3,1,3,3,4,4,3,3,3,4
1,1,2,2,2,75,40,2,3,2,3,3,2,3,3,3,4,4,4,4,4,4,3,4,4,4,4
1,5,3,3,7,45,3,2,1,1,1,1,1,1,1,1,5,3,3,4,3,3,3,3,3,3,3
2,5,3,1,4,70,32,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,4,3,3,3
2,5,1,1,2,63,62,2,4,3,4,3,1,2,2,3,4,4,2,4,4,4,4,4,4,4,4
